"subjectid" "activityname" "variable" "mean"
1 "WALKING" "tbodyaccmeanx" 0.265696920582133
1 "WALKING" "tbodyaccmeany" -0.0182981725176081
1 "WALKING" "tbodyaccmeanz" -0.10784573454611
1 "WALKING" "tbodyaccstdx" -0.545795331328326
1 "WALKING" "tbodyaccstdy" -0.367716218227378
1 "WALKING" "tbodyaccstdz" -0.502645746562824
1 "WALKING" "tgravityaccmeanx" 0.744867411573487
1 "WALKING" "tgravityaccmeany" -0.0825562579855908
1 "WALKING" "tgravityaccmeanz" 0.072339870389049
1 "WALKING" "tgravityaccstdx" -0.959859435936599
1 "WALKING" "tgravityaccstdy" -0.951150627458213
1 "WALKING" "tgravityaccstdz" -0.925817590867435
1 "WALKING" "tbodyaccjerkmeanx" 0.0770930495126801
1 "WALKING" "tbodyaccjerkmeany" 0.0165908438802305
1 "WALKING" "tbodyaccjerkmeanz" -0.00910758730117003
1 "WALKING" "tbodyaccjerkstdx" -0.524721922818732
1 "WALKING" "tbodyaccjerkstdy" -0.470412403511239
1 "WALKING" "tbodyaccjerkstdz" -0.717322274881844
1 "WALKING" "tbodygyromeanx" -0.0208764064320173
1 "WALKING" "tbodygyromeany" -0.0880722729400576
1 "WALKING" "tbodygyromeanz" 0.0862641666597983
1 "WALKING" "tbodygyrostdx" -0.686555715201729
1 "WALKING" "tbodygyrostdy" -0.450979810499568
1 "WALKING" "tbodygyrostdz" -0.597496136795101
1 "WALKING" "tbodygyrojerkmeanx" -0.0971120197265994
1 "WALKING" "tbodygyrojerkmeany" -0.0417164808293948
1 "WALKING" "tbodygyrojerkmeanz" -0.0471393985477522
1 "WALKING" "tbodygyrojerkstdx" -0.637812687210375
1 "WALKING" "tbodygyrojerkstdy" -0.634472244550432
1 "WALKING" "tbodygyrojerkstdz" -0.664591977786455
1 "WALKING" "tbodyaccmagmean" -0.453632943768818
1 "WALKING" "tbodyaccmagstd" -0.497096402038329
1 "WALKING" "tgravityaccmagmean" -0.453632943768818
1 "WALKING" "tgravityaccmagstd" -0.497096402038329
1 "WALKING" "tbodyaccjerkmagmean" -0.545431612066571
1 "WALKING" "tbodyaccjerkmagstd" -0.515922167555159
1 "WALKING" "tbodygyromagmean" -0.475404785802305
1 "WALKING" "tbodygyromagstd" -0.499839593745821
1 "WALKING" "tbodygyrojerkmagmean" -0.639517432642651
1 "WALKING" "tbodygyrojerkmagstd" -0.652050770910663
1 "WALKING" "fbodyaccmeanx" -0.531895161258213
1 "WALKING" "fbodyaccmeany" -0.406435448904438
1 "WALKING" "fbodyaccmeanz" -0.596411165253602
1 "WALKING" "fbodyaccstdx" -0.553060616663401
1 "WALKING" "fbodyaccstdy" -0.390150939647061
1 "WALKING" "fbodyaccstdz" -0.498583091676081
1 "WALKING" "fbodyaccmeanfreqx" -0.180558714010749
1 "WALKING" "fbodyaccmeanfreqy" 0.0576291646962536
1 "WALKING" "fbodyaccmeanfreqz" 0.0583692776609798
1 "WALKING" "fbodyaccjerkmeanx" -0.547348892435764
1 "WALKING" "fbodyaccjerkmeany" -0.507343617969859
1 "WALKING" "fbodyaccjerkmeanz" -0.695305113832853
1 "WALKING" "fbodyaccjerkstdx" -0.543979776127867
1 "WALKING" "fbodyaccjerkstdy" -0.466251676533372
1 "WALKING" "fbodyaccjerkstdz" -0.737861932680115
1 "WALKING" "fbodyaccjerkmeanfreqx" -0.0488005965884726
1 "WALKING" "fbodyaccjerkmeanfreqy" -0.21527915818415
1 "WALKING" "fbodyaccjerkmeanfreqz" -0.0964496376997118
1 "WALKING" "fbodygyromeanx" -0.623219182311527
1 "WALKING" "fbodygyromeany" -0.505309434070029
1 "WALKING" "fbodygyromeanz" -0.553529065425648
1 "WALKING" "fbodygyrostdx" -0.708263420861671
1 "WALKING" "fbodygyrostdy" -0.429825832648703
1 "WALKING" "fbodygyrostdz" -0.650476162132565
1 "WALKING" "fbodygyromeanfreqx" -0.0320324102759078
1 "WALKING" "fbodygyromeanfreqy" -0.0901517235974063
1 "WALKING" "fbodygyromeanfreqz" -0.0180063943472334
1 "WALKING" "fbodyaccmagmean" -0.478448523354179
1 "WALKING" "fbodyaccmagstd" -0.589710231217867
1 "WALKING" "fbodyaccmagmeanfreq" 0.142062162506138
1 "WALKING" "fbodybodyaccjerkmagmean" -0.499075765624092
1 "WALKING" "fbodybodyaccjerkmagstd" -0.541823079570029
1 "WALKING" "fbodybodyaccjerkmagmeanfreq" 0.200055179527839
1 "WALKING" "fbodybodygyromagmean" -0.535002770337752
1 "WALKING" "fbodybodygyromagstd" -0.566576670397695
1 "WALKING" "fbodybodygyromagmeanfreq" 0.0649309438160231
1 "WALKING" "fbodybodygyrojerkmagmean" -0.645970655298847
1 "WALKING" "fbodybodygyrojerkmagstd" -0.685811262634006
1 "WALKING" "fbodybodygyrojerkmagmeanfreq" 0.198031580056455
2 "WALKING" "tbodyaccmeanx" 0.273113115788079
2 "WALKING" "tbodyaccmeany" -0.0191323183174834
2 "WALKING" "tbodyaccmeanz" -0.115649958175497
2 "WALKING" "tbodyaccstdx" -0.605586497159271
2 "WALKING" "tbodyaccstdy" -0.428962986589404
2 "WALKING" "tbodyaccstdz" -0.589360062210596
2 "WALKING" "tgravityaccmeanx" 0.660782866688742
2 "WALKING" "tgravityaccmeany" -0.147219886910411
2 "WALKING" "tgravityaccmeanz" 0.134865335090728
2 "WALKING" "tgravityaccstdx" -0.963015508245033
2 "WALKING" "tgravityaccstdy" -0.960033560165563
2 "WALKING" "tgravityaccstdz" -0.945365383907285
2 "WALKING" "tbodyaccjerkmeanx" 0.0785353156747351
2 "WALKING" "tbodyaccjerkmeany" 0.00708771249764901
2 "WALKING" "tbodyaccjerkmeanz" 0.000755760748377483
2 "WALKING" "tbodyaccjerkstdx" -0.557809603123841
2 "WALKING" "tbodyaccjerkstdy" -0.491875889831788
2 "WALKING" "tbodyaccjerkstdz" -0.741885388311258
2 "WALKING" "tbodygyromeanx" -0.0517030657821192
2 "WALKING" "tbodygyromeany" -0.0568420186817881
2 "WALKING" "tbodygyromeanz" 0.0872599422291391
2 "WALKING" "tbodygyrostdx" -0.710648927815894
2 "WALKING" "tbodygyrostdy" -0.722943674337748
2 "WALKING" "tbodygyrostdz" -0.634888927843046
2 "WALKING" "tbodygyrojerkmeanx" -0.0875587491668874
2 "WALKING" "tbodygyrojerkmeany" -0.0433986835453642
2 "WALKING" "tbodygyrojerkmeanz" -0.0557541828188742
2 "WALKING" "tbodygyrojerkstdx" -0.671679103311258
2 "WALKING" "tbodygyrojerkstdy" -0.783595466728477
2 "WALKING" "tbodygyrojerkstdz" -0.674611933293046
2 "WALKING" "tbodyaccmagmean" -0.535281800541722
2 "WALKING" "tbodyaccmagstd" -0.552812545643709
2 "WALKING" "tgravityaccmagmean" -0.535281800541722
2 "WALKING" "tgravityaccmagstd" -0.552812545643709
2 "WALKING" "tbodyaccjerkmagmean" -0.58777744543543
2 "WALKING" "tbodyaccjerkmagstd" -0.512115278415232
2 "WALKING" "tbodygyromagmean" -0.614771054893146
2 "WALKING" "tbodygyromagstd" -0.680584887880795
2 "WALKING" "tbodygyrojerkmagmean" -0.746559539039735
2 "WALKING" "tbodygyrojerkmagstd" -0.740088733655629
2 "WALKING" "fbodyaccmeanx" -0.57377091142947
2 "WALKING" "fbodyaccmeany" -0.432566581302351
2 "WALKING" "fbodyaccmeanz" -0.630081222124834
2 "WALKING" "fbodyaccstdx" -0.619788102803311
2 "WALKING" "fbodyaccstdy" -0.464723862913245
2 "WALKING" "fbodyaccstdz" -0.600678614835099
2 "WALKING" "fbodyaccmeanfreqx" -0.106763418901788
2 "WALKING" "fbodyaccmeanfreqy" 0.105734176023146
2 "WALKING" "fbodyaccmeanfreqz" 0.087210586428
2 "WALKING" "fbodyaccjerkmeanx" -0.561682049622185
2 "WALKING" "fbodyaccjerkmeany" -0.50890379901457
2 "WALKING" "fbodyaccjerkmeanz" -0.715745330403973
2 "WALKING" "fbodyaccjerkstdx" -0.595105612895033
2 "WALKING" "fbodyaccjerkstdy" -0.509147543673841
2 "WALKING" "fbodyaccjerkstdz" -0.767087015496689
2 "WALKING" "fbodyaccjerkmeanfreqx" 0.0868000536209801
2 "WALKING" "fbodyaccjerkmeanfreqy" -0.139776595362185
2 "WALKING" "fbodyaccjerkmeanfreqz" -0.0942651868218543
2 "WALKING" "fbodygyromeanx" -0.638717694593046
2 "WALKING" "fbodygyromeany" -0.722068978635762
2 "WALKING" "fbodygyromeanz" -0.601594889654305
2 "WALKING" "fbodygyrostdx" -0.734588540182119
2 "WALKING" "fbodygyrostdy" -0.72716774102649
2 "WALKING" "fbodygyrostdz" -0.683114494539735
2 "WALKING" "fbodygyromeanfreqx" -0.00576500648245033
2 "WALKING" "fbodygyromeanfreqy" -0.0702155008665563
2 "WALKING" "fbodygyromeanfreqz" 0.0513627291214901
